,gender,age_group,familiarity_with_herbal_essences,respondent_location,hair_care_routine_story,ideal_hair_care_product_message,celeb_hair_care_philosophy,current_natural_shampoo_user,motivation_to_try_herbal_essence,price_sensitivity
0,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Gentle-Caring,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers
1,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Tech-Savvy Innovators,False,Evidence-Driven Motivation,Premium Product Enthusiasts
2,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Gentle-Caring,Science Experts,True,Trust-Based Influence,Budget-Conscious Consumers
3,FEMALE,18-25,Never heard of it,Not Specified,Cost-Aware,Naturally Healthy,Science Experts,True,Trust-Based Influence,Budget-Conscious Consumers
4,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Personalization-Focused,Science Experts,False,Evidence-Driven Motivation,Mid-Range Value Seekers
5,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Gentle-Caring,Laid-Back Trendsetters,False,Trust-Based Influence,Mid-Range Value Seekers
6,FEMALE,18-25,Never heard of it,Not Specified,Exploration-Driven,Gentle-Caring,Science Experts,False,Evidence-Driven Motivation,Budget-Conscious Consumers
7,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Naturally Healthy,Science Experts,True,Evidence-Driven Motivation,Mid-Range Value Seekers
8,Prefer not to say,18-25,Never heard of it,Not Specified,Cost-Aware,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers
9,MALE,18-25,Never heard of it,Not Specified,Cost-Aware,Other,Other,False,Trust-Based Influence,Budget-Conscious Consumers
10,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Personalization-Focused,Tech-Savvy Innovators,False,Trust-Based Influence,Budget-Conscious Consumers
11,MALE,18-25,Never heard of it,Not Specified,Relaxation-Seeking,Naturally Healthy,Cultural Heritage Influencers,True,Afordability,Budget-Conscious Consumers
12,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Laid-Back Trendsetters,False,Afordability,Budget-Conscious Consumers
13,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Premium Product Enthusiasts
14,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Budget-Conscious Consumers
15,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Image-Driven,Laid-Back Trendsetters,False,Afordability,Quality-Oriented Buyers
16,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Gentle-Caring,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Quality-Oriented Buyers
17,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Mid-Range Value Seekers
18,FEMALE,18-25,Very familiar,Not Specified,Time-Pressed,Personalization-Focused,Tech-Savvy Innovators,True,Afordability,Budget-Conscious Consumers
19,MALE,18-25,Very familiar,Not Specified,Time-Pressed,Personalization-Focused,Other,False,Trust-Based Influence,Quality-Oriented Buyers
20,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Science Experts,True,Evidence-Driven Motivation,Quality-Oriented Buyers
21,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,False,Trust-Based Influence,Quality-Oriented Buyers
22,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Personalization-Focused,Cultural Heritage Influencers,True,Evidence-Driven Motivation,Budget-Conscious Consumers
23,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Image-Driven,Tech-Savvy Innovators,False,Evidence-Driven Motivation,Budget-Conscious Consumers
24,FEMALE,18-25,Never heard of it,Not Specified,Cost-Aware,Naturally Healthy,Laid-Back Trendsetters,True,Afordability,Budget-Conscious Consumers
25,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,False,Trust-Based Influence,Premium Product Enthusiasts
26,FEMALE,25-40,Very familiar,Not Specified,Cost-Aware,Naturally Healthy,Science Experts,True,Evidence-Driven Motivation,Premium Product Enthusiasts
27,MALE,18-25,Very familiar,Not Specified,Time-Pressed,Image-Driven,Cultural Heritage Influencers,True,Afordability,Quality-Oriented Buyers
28,FEMALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Gentle-Caring,Laid-Back Trendsetters,False,Natural Product Appeal,Mid-Range Value Seekers
29,MALE,18-25,Somewhat familiar,Not Specified,Relaxation-Seeking,Personalization-Focused,Laid-Back Trendsetters,True,Evidence-Driven Motivation,Mid-Range Value Seekers
30,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Gentle-Caring,Science Experts,False,Afordability,Quality-Oriented Buyers
31,FEMALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Personalization-Focused,Science Experts,False,Evidence-Driven Motivation,Premium Product Enthusiasts
32,FEMALE,18-25,Somewhat familiar,Not Specified,Relaxation-Seeking,Gentle-Caring,Science Experts,False,Trust-Based Influence,Mid-Range Value Seekers
33,MALE,25-40,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Other,False,Evidence-Driven Motivation,Mid-Range Value Seekers
34,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Science Experts,False,Trust-Based Influence,Budget-Conscious Consumers
35,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Naturally Healthy,Science Experts,False,Trust-Based Influence,Mid-Range Value Seekers
36,FEMALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Science Experts,False,Trust-Based Influence,Mid-Range Value Seekers
37,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Budget-Conscious Consumers
38,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Naturally Healthy,Other,False,Evidence-Driven Motivation,Budget-Conscious Consumers
39,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Laid-Back Trendsetters,False,Trust-Based Influence,Quality-Oriented Buyers
40,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Gentle-Caring,Laid-Back Trendsetters,False,Trust-Based Influence,Budget-Conscious Consumers
41,FEMALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Gentle-Caring,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Budget-Conscious Consumers
42,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Cultural Heritage Influencers,True,Trust-Based Influence,Budget-Conscious Consumers
43,MALE,18-25,Very familiar,Not Specified,Nature inspired,Naturally Healthy,Other,False,Trust-Based Influence,Budget-Conscious Consumers
44,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Evidence-Driven Motivation,Mid-Range Value Seekers
45,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Personalization-Focused,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Mid-Range Value Seekers
46,FEMALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Personalization-Focused,Laid-Back Trendsetters,True,Trust-Based Influence,Premium Product Enthusiasts
47,,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Tech-Savvy Innovators,False,Evidence-Driven Motivation,Budget-Conscious Consumers
48,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Gentle-Caring,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Budget-Conscious Consumers
49,FEMALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Personalization-Focused,Cultural Heritage Influencers,False,Other,Budget-Conscious Consumers
50,FEMALE,18-25,Very familiar,Not Specified,Relaxation-Seeking,Gentle-Caring,Cultural Heritage Influencers,False,Natural Product Appeal,Mid-Range Value Seekers
51,MALE,18-25,Very familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Evidence-Driven Motivation,Mid-Range Value Seekers
52,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Other,Laid-Back Trendsetters,False,Natural Product Appeal,Budget-Conscious Consumers
53,FEMALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Cultural Heritage Influencers,False,Natural Product Appeal,Budget-Conscious Consumers
54,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Other,Laid-Back Trendsetters,True,Trust-Based Influence,Quality-Oriented Buyers
55,FEMALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Gentle-Caring,Tech-Savvy Innovators,False,Afordability,Budget-Conscious Consumers
56,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Naturally Healthy,Tech-Savvy Innovators,False,Natural Product Appeal,Mid-Range Value Seekers
57,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Science Experts,False,Trust-Based Influence,Mid-Range Value Seekers
58,FEMALE,18-25,Very familiar,Not Specified,Relaxation-Seeking,Personalization-Focused,Cultural Heritage Influencers,True,Afordability,Budget-Conscious Consumers
59,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Gentle-Caring,Science Experts,False,Evidence-Driven Motivation,Budget-Conscious Consumers
60,MALE,18-25,Never heard of it,Not Specified,Exploration-Driven,Naturally Healthy,Science Experts,False,Evidence-Driven Motivation,Luxury Brand Believers
61,MALE,18-25,Very familiar,Not Specified,Cost-Aware,Gentle-Caring,Laid-Back Trendsetters,False,Afordability,Budget-Conscious Consumers
62,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Personalization-Focused,Tech-Savvy Innovators,False,Other,Quality-Oriented Buyers
63,MALE,18-25,Never heard of it,Not Specified,Nature inspired,Naturally Healthy,Laid-Back Trendsetters,False,Trust-Based Influence,Budget-Conscious Consumers
64,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Image-Driven,Cultural Heritage Influencers,True,Trust-Based Influence,Premium Product Enthusiasts
65,FEMALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Gentle-Caring,Tech-Savvy Innovators,False,Afordability,Budget-Conscious Consumers
66,MALE,18-25,Never heard of it,Not Specified,Exploration-Driven,Gentle-Caring,Cultural Heritage Influencers,False,Trust-Based Influence,Budget-Conscious Consumers
67,MALE,18-25,Very familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Trust-Based Influence,Mid-Range Value Seekers
68,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Personalization-Focused,Laid-Back Trendsetters,False,Afordability,Budget-Conscious Consumers
69,FEMALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers
70,FEMALE,18-25,Never heard of it,Not Specified,Nature inspired,Image-Driven,Laid-Back Trendsetters,False,Trust-Based Influence,Premium Product Enthusiasts
71,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Laid-Back Trendsetters,False,Natural Product Appeal,Luxury Brand Believers
72,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Cultural Heritage Influencers,False,Trust-Based Influence,Budget-Conscious Consumers
73,MALE,18-25,Very familiar,Not Specified,Relaxation-Seeking,Image-Driven,Other,True,Afordability,Budget-Conscious Consumers
74,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Gentle-Caring,Tech-Savvy Innovators,True,Afordability,Budget-Conscious Consumers
75,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Personalization-Focused,Science Experts,False,Natural Product Appeal,Budget-Conscious Consumers
76,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Tech-Savvy Innovators,True,Evidence-Driven Motivation,Mid-Range Value Seekers
77,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Personalization-Focused,Science Experts,True,Natural Product Appeal,Quality-Oriented Buyers
78,MALE,18-25,Never heard of it,Not Specified,Exploration-Driven,Naturally Healthy,Science Experts,False,Trust-Based Influence,Budget-Conscious Consumers
79,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Personalization-Focused,Science Experts,True,Trust-Based Influence,Mid-Range Value Seekers
80,MALE,18-25,Very familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Evidence-Driven Motivation,Mid-Range Value Seekers
81,FEMALE,18-25,Never heard of it,Not Specified,Cost-Aware,Naturally Healthy,Science Experts,False,Trust-Based Influence,Budget-Conscious Consumers
82,MALE,18-25,Very familiar,Not Specified,Cost-Aware,Gentle-Caring,Laid-Back Trendsetters,True,Trust-Based Influence,Premium Product Enthusiasts
83,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Cultural Heritage Influencers,True,Afordability,Quality-Oriented Buyers
84,MALE,18-25,Very familiar,Not Specified,Time-Pressed,Other,Science Experts,True,Evidence-Driven Motivation,Mid-Range Value Seekers
85,MALE,18-25,Never heard of it,Not Specified,Cost-Aware,Naturally Healthy,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Budget-Conscious Consumers
86,FEMALE,18-25,Very familiar,Not Specified,Time-Pressed,Naturally Healthy,Other,False,Trust-Based Influence,Premium Product Enthusiasts
87,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Image-Driven,Laid-Back Trendsetters,False,Natural Product Appeal,Budget-Conscious Consumers
88,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Other,Laid-Back Trendsetters,True,Other,Mid-Range Value Seekers
89,FEMALE,18-25,Never heard of it,Not Specified,Cost-Aware,Personalization-Focused,Science Experts,True,Natural Product Appeal,Budget-Conscious Consumers
90,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Naturally Healthy,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Premium Product Enthusiasts
91,FEMALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Afordability,Quality-Oriented Buyers
