,gender,age_group,familiarity_with_herbal_essences,respondent_location,hair_care_routine_story,ideal_hair_care_product_message,celeb_hair_care_philosophy,current_natural_shampoo_user,motivation_to_try_herbal_essence,price_sensitivity
92,MALE,18-25,Very familiar,Not Specified,Relaxation-Seeking,Naturally Healthy,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Premium Product Enthusiasts
93,FEMALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Laid-Back Trendsetters,False,Trust-Based Influence,Budget-Conscious Consumers
94,MALE,18-25,Very familiar,Not Specified,Cost-Aware,Gentle-Caring,Science Experts,False,Afordability,Budget-Conscious Consumers
95,FEMALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Cultural Heritage Influencers,False,Trust-Based Influence,Budget-Conscious Consumers
96,FEMALE,40 +,Very familiar,Not Specified,Relaxation-Seeking,Personalization-Focused,Laid-Back Trendsetters,True,Trust-Based Influence,Mid-Range Value Seekers
97,MALE,18-25,Very familiar,Not Specified,Time-Pressed,Naturally Healthy,Tech-Savvy Innovators,True,Trust-Based Influence,Luxury Brand Believers
98,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Gentle-Caring,Laid-Back Trendsetters,False,Afordability,Budget-Conscious Consumers
99,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Naturally Healthy,Cultural Heritage Influencers,True,Afordability,Budget-Conscious Consumers
100,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Tech-Savvy Innovators,False,Trust-Based Influence,Luxury Brand Believers
101,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Personalization-Focused,Laid-Back Trendsetters,False,Afordability,Budget-Conscious Consumers
102,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Naturally Healthy,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Premium Product Enthusiasts
103,FEMALE,18-25,Very familiar,Not Specified,Cost-Aware,Image-Driven,Laid-Back Trendsetters,True,Trust-Based Influence,Mid-Range Value Seekers
104,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Other,Science Experts,False,Afordability,Budget-Conscious Consumers
105,MALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Naturally Healthy,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Budget-Conscious Consumers
106,FEMALE,18-25,Never heard of it,Not Specified,Time-Pressed,Other,Other,True,Other,Mid-Range Value Seekers
107,MALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Gentle-Caring,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Quality-Oriented Buyers
108,FEMALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers
109,FEMALE,18-25,Never heard of it,Not Specified,Time-Pressed,Personalization-Focused,Tech-Savvy Innovators,False,Natural Product Appeal,Budget-Conscious Consumers
110,MALE,18-25,Never heard of it,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Other,Budget-Conscious Consumers
111,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,True,Natural Product Appeal,Budget-Conscious Consumers
112,MALE,18-25,Somewhat familiar,Not Specified,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers
113,MALE,18-25,Never heard of it,Not Specified,Time-Pressed,Naturally Healthy,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Budget-Conscious Consumers
114,FEMALE,18-25,Somewhat familiar,Not Specified,Cost-Aware,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers
115,MALE,18-25,Never heard of it,Not Specified,Exploration-Driven,Naturally Healthy,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Budget-Conscious Consumers
116,MALE,18-25,Somewhat familiar,Not Specified,Time-Pressed,Naturally Healthy,Laid-Back Trendsetters,False,Trust-Based Influence,Quality-Oriented Buyers
117,FEMALE,18-25,Never heard of it,Not Specified,Time-Pressed,Gentle-Caring,Tech-Savvy Innovators,False,Trust-Based Influence,Budget-Conscious Consumers
118,FEMALE,18-25,Somewhat familiar,Not Specified,Exploration-Driven,Gentle-Caring,Cultural Heritage Influencers,True,Afordability,Mid-Range Value Seekers
119,FEMALE,18-25,Somewhat familiar,Rural Market,Time-Pressed,Image-Driven,Laid-Back Trendsetters,False,Trust-Based Influence,Mid-Range Value Seekers
120,FEMALE,25-40,Very familiar,Urban Professional Market,Relaxation-Seeking,Gentle-Caring,Science Experts,False,Natural Product Appeal,Mid-Range Value Seekers
121,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Relaxation-Seeking,Naturally Healthy,Cultural Heritage Influencers,False,Trust-Based Influence,Budget-Conscious Consumers
122,MALE,18-25,Somewhat familiar,Emerging Urban Market,Time-Pressed,Gentle-Caring,Tech-Savvy Innovators,False,Natural Product Appeal,Budget-Conscious Consumers
123,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Relaxation-Seeking,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers
124,MALE,18-25,Somewhat familiar,Urban Professional Market,Nature inspired,Gentle-Caring,Science Experts,False,Evidence-Driven Motivation,Mid-Range Value Seekers
125,MALE,25-40,Never heard of it,Urban Professional Market,Time-Pressed,Personalization-Focused,Tech-Savvy Innovators,False,Afordability,Budget-Conscious Consumers
126,FEMALE,18-25,Very familiar,Emerging Urban Market,Nature inspired,Naturally Healthy,Science Experts,True,Trust-Based Influence,Luxury Brand Believers
127,FEMALE,18-25,Very familiar,Urban Professional Market,Relaxation-Seeking,Gentle-Caring,Science Experts,True,Trust-Based Influence,Mid-Range Value Seekers
128,FEMALE,40 +,Somewhat familiar,Rural Market,Relaxation-Seeking,Naturally Healthy,Cultural Heritage Influencers,True,Natural Product Appeal,Budget-Conscious Consumers
129,FEMALE,18-25,Very familiar,Urban Professional Market,Time-Pressed,Gentle-Caring,Tech-Savvy Innovators,False,Other,Luxury Brand Believers
130,MALE,18-25,Somewhat familiar,Emerging Urban Market,Time-Pressed,Naturally Healthy,Cultural Heritage Influencers,True,Afordability,Mid-Range Value Seekers
131,FEMALE,18-25,Never heard of it,Urban Professional Market,Time-Pressed,Other,Other,False,Other,Budget-Conscious Consumers
132,MALE,18-25,Somewhat familiar,Urban Professional Market,Nature inspired,Naturally Healthy,Science Experts,False,Trust-Based Influence,Budget-Conscious Consumers
133,MALE,18-25,Somewhat familiar,Urban Professional Market,Exploration-Driven,Gentle-Caring,Cultural Heritage Influencers,True,Trust-Based Influence,Quality-Oriented Buyers
134,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Cost-Aware,Naturally Healthy,Laid-Back Trendsetters,False,Afordability,Budget-Conscious Consumers
135,MALE,18-25,Somewhat familiar,Urban Professional Market,Time-Pressed,Other,Tech-Savvy Innovators,False,Evidence-Driven Motivation,Mid-Range Value Seekers
136,MALE,18-25,Somewhat familiar,Urban Professional Market,Cost-Aware,Naturally Healthy,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Mid-Range Value Seekers
137,MALE,18-25,Never heard of it,Urban Professional Market,Exploration-Driven,Personalization-Focused,Science Experts,False,Evidence-Driven Motivation,Quality-Oriented Buyers
138,FEMALE,25-40,Never heard of it,Urban Professional Market,Relaxation-Seeking,Naturally Healthy,Tech-Savvy Innovators,False,Afordability,Budget-Conscious Consumers
139,MALE,18-25,Somewhat familiar,Urban Professional Market,Relaxation-Seeking,Naturally Healthy,Science Experts,True,Evidence-Driven Motivation,Mid-Range Value Seekers
140,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Time-Pressed,Naturally Healthy,Cultural Heritage Influencers,False,Trust-Based Influence,Budget-Conscious Consumers
141,MALE,18-25,Somewhat familiar,Rural Market,Nature inspired,Naturally Healthy,Tech-Savvy Innovators,True,Trust-Based Influence,Mid-Range Value Seekers
142,MALE,18-25,Very familiar,Urban Professional Market,Exploration-Driven,Image-Driven,Tech-Savvy Innovators,True,Natural Product Appeal,Quality-Oriented Buyers
143,FEMALE,25-40,Very familiar,Urban Professional Market,Nature inspired,Naturally Healthy,Laid-Back Trendsetters,True,Trust-Based Influence,Luxury Brand Believers
144,MALE,25-40,Somewhat familiar,Urban Professional Market,Cost-Aware,Gentle-Caring,Cultural Heritage Influencers,False,Natural Product Appeal,Budget-Conscious Consumers
145,FEMALE,18-25,Very familiar,Emerging Urban Market,Nature inspired,Personalization-Focused,Science Experts,True,Other,Premium Product Enthusiasts
146,MALE,18-25,Very familiar,Urban Professional Market,Cost-Aware,Gentle-Caring,Cultural Heritage Influencers,True,Afordability,Budget-Conscious Consumers
147,MALE,18-25,Never heard of it,Urban Professional Market,Time-Pressed,Gentle-Caring,Other,False,Trust-Based Influence,Mid-Range Value Seekers
148,MALE,18-25,Somewhat familiar,Urban Professional Market,Nature inspired,Naturally Healthy,Laid-Back Trendsetters,False,Natural Product Appeal,Budget-Conscious Consumers
149,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Cost-Aware,Naturally Healthy,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Quality-Oriented Buyers
150,MALE,25-40,Never heard of it,Emerging Urban Market,Cost-Aware,Naturally Healthy,Science Experts,True,Evidence-Driven Motivation,Budget-Conscious Consumers
151,MALE,18-25,Somewhat familiar,Urban Professional Market,Nature inspired,Image-Driven,Laid-Back Trendsetters,False,Trust-Based Influence,Quality-Oriented Buyers
152,MALE,18-25,Somewhat familiar,Rural Market,Cost-Aware,Gentle-Caring,Other,True,Afordability,Budget-Conscious Consumers
153,MALE,25-40,Somewhat familiar,Urban Professional Market,Time-Pressed,Naturally Healthy,Tech-Savvy Innovators,False,Afordability,Luxury Brand Believers
154,MALE,25-40,Somewhat familiar,Emerging Urban Market,Time-Pressed,Personalization-Focused,Cultural Heritage Influencers,False,Trust-Based Influence,Budget-Conscious Consumers
155,MALE,18-25,Somewhat familiar,Urban Professional Market,Cost-Aware,Personalization-Focused,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Quality-Oriented Buyers
156,MALE,18-25,Somewhat familiar,Urban Professional Market,Nature inspired,Gentle-Caring,Cultural Heritage Influencers,True,Trust-Based Influence,Mid-Range Value Seekers
157,MALE,18-25,Somewhat familiar,Urban Professional Market,Cost-Aware,Naturally Healthy,Cultural Heritage Influencers,False,Natural Product Appeal,Budget-Conscious Consumers
158,MALE,18-25,Somewhat familiar,Rural Market,Exploration-Driven,Gentle-Caring,Cultural Heritage Influencers,True,Evidence-Driven Motivation,Mid-Range Value Seekers
159,MALE,18-25,Somewhat familiar,Urban Professional Market,Exploration-Driven,Naturally Healthy,Science Experts,True,Evidence-Driven Motivation,Luxury Brand Believers
160,MALE,18-25,Somewhat familiar,Urban Professional Market,Nature inspired,Naturally Healthy,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Quality-Oriented Buyers
161,MALE,18-25,Never heard of it,Urban Professional Market,Cost-Aware,Personalization-Focused,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Budget-Conscious Consumers
162,MALE,25-40,Very familiar,Emerging Urban Market,Exploration-Driven,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers
163,FEMALE,18-25,Somewhat familiar,Emerging Urban Market,Relaxation-Seeking,Personalization-Focused,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers
164,MALE,18-25,Very familiar,Urban Professional Market,Relaxation-Seeking,Gentle-Caring,Cultural Heritage Influencers,True,Trust-Based Influence,Mid-Range Value Seekers
165,MALE,18-25,Somewhat familiar,Urban Professional Market,Relaxation-Seeking,Naturally Healthy,Tech-Savvy Innovators,False,Trust-Based Influence,Budget-Conscious Consumers
166,MALE,18-25,Somewhat familiar,Urban Professional Market,Time-Pressed,Naturally Healthy,Tech-Savvy Innovators,False,Natural Product Appeal,Quality-Oriented Buyers
167,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Time-Pressed,Naturally Healthy,Cultural Heritage Influencers,True,Trust-Based Influence,Budget-Conscious Consumers
168,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Time-Pressed,Naturally Healthy,Science Experts,False,Trust-Based Influence,Budget-Conscious Consumers
169,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Cost-Aware,Personalization-Focused,Cultural Heritage Influencers,True,Natural Product Appeal,Budget-Conscious Consumers
170,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Time-Pressed,Image-Driven,Laid-Back Trendsetters,False,Evidence-Driven Motivation,Premium Product Enthusiasts
171,FEMALE,18-25,Never heard of it,Rural Market,Nature inspired,Naturally Healthy,Cultural Heritage Influencers,False,Evidence-Driven Motivation,Budget-Conscious Consumers
172,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Relaxation-Seeking,Naturally Healthy,Cultural Heritage Influencers,False,Afordability,Mid-Range Value Seekers
173,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Exploration-Driven,Gentle-Caring,Cultural Heritage Influencers,False,Afordability,Mid-Range Value Seekers
174,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Relaxation-Seeking,Naturally Healthy,Cultural Heritage Influencers,True,Trust-Based Influence,Budget-Conscious Consumers
175,FEMALE,18-25,Very familiar,Urban Professional Market,Exploration-Driven,Naturally Healthy,Science Experts,True,Natural Product Appeal,Mid-Range Value Seekers
176,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Cost-Aware,Image-Driven,Laid-Back Trendsetters,True,Evidence-Driven Motivation,Mid-Range Value Seekers
177,MALE,18-25,Never heard of it,Urban Professional Market,Time-Pressed,Personalization-Focused,Cultural Heritage Influencers,False,Afordability,Budget-Conscious Consumers
178,FEMALE,18-25,Somewhat familiar,Urban Professional Market,Relaxation-Seeking,Naturally Healthy,Science Experts,True,Natural Product Appeal,Quality-Oriented Buyers
179,FEMALE,18-25,Never heard of it,Urban Professional Market,Cost-Aware,Other,Cultural Heritage Influencers,True,Afordability,Quality-Oriented Buyers
180,FEMALE,18-25,Very familiar,Emerging Urban Market,Relaxation-Seeking,Naturally Healthy,Tech-Savvy Innovators,True,Afordability,Mid-Range Value Seekers
181,FEMALE,18-25,Never heard of it,Urban Professional Market,Exploration-Driven,Image-Driven,Science Experts,False,Trust-Based Influence,Quality-Oriented Buyers
